"id","en_label","en_description","enwiki_title"
"7405428","Salman bin Abdulaziz bin Salman Al Saud","Saudi royal (born 1982)","Salman bin Abdulaziz Al Saud (born 1982)"
"3183928","Joris van Overeem","Dutch-Israeli association footballer of maternal Israeli-Jewish descent","Joris van Overeem"
"116185114","Katharina","",""
"311219","Sammo Hung","Hong Kong actor","Sammo Hung"
"96472889","Jacques","bishop of the roman-catholic church",""
"109768702","Gayle","American singer","Gayle (singer)"
"107140440","Emma Stonex","British writer",""
"7152908","Paul Pelosi, Jr.","American businessman",""
"89347920","Charlène Brochard","researcher",""
"21516151","Mark T. Strong","botanist",""
"98199944","Robin W Lindsay","researcher",""
"105637980","Dominique Lemonnier","actress",""
"344983","Babyface","American singer, songwriter, and record producer","Babyface (musician)"
"98084877","Paola Michelle Morales Rodriguez","",""
"106975249","William Augustus Adams","politician in Massachusetts, US (1830-1907)",""
"78006","Dieter Hallervorden","German actor and comedian","Dieter Hallervorden"
"75655400","Robert Blake","Peerage person ID=275565",""
"190602","Annette Bening","American actress","Annette Bening"
"75902672","Ralph Peter Dundas of Manour","(died 1828)",""
"112114511","Niki Richard Dalgliesh Cavill","brother of the Henry Cavill",""
"15951419","Marc Angel","Luxembourgian politician","Marc Angel"
"75813055","David William Cameron","Peerage person ID=344466",""
"17431020","Mehmet Özbay","Turkish politician",""
"39936747","Akon Higuchi","researcher",""
"8004147","William Adams","American clergyman and academic (1807-1880)","William Adams (minister)"
"116502648","Adam Scott","Rugby league footballer",""
"64780845","Pedro Sánchez Zarraquines","Roman Catholic bishop",""
"1680558","James Hewitt","British Army officer (born 1958)","James Hewitt"
"299483","James Cromwell","American actor and activist (born 1940)","James Cromwell"
"20984490","Lourdes Santiago Torres Leon Guerrero","Guam educator","Lourdes Santiago Torres Leon Guerrero"
"5403119","Ethel Furman","American architect","Ethel Furman"
"67506092","B I Choi","researcher",""
"514576","George","Russian-orthodox archbishop of Chelyabinsk and Zlatoust (Grjasnow)","George (Gryaznov)"
"184249","Kelly Rowland","American singer and actress","Kelly Rowland"
"117223395","Shakirahmed Kolia","researcher",""
"7152129","Paul M. Smith","British photographer and academic","Paul M. Smith (photographer)"
"76357885","David Carrick Robert Carrick-Buchanan","Peerage person ID=709738",""
"98834940","Martha Louise Frieling","German association football player",""
"21062977","Wes Taylor","Canadian politician","Wes Taylor (politician)"
"96480272","Rebecca Miller","2 Sep 1784 - Mar 1841",""
"2561981","Werner Mangold","German association football player",""
"83287","Selena Gomez","American singer and actress","Selena Gomez"
"722301","Khalid Boulami","Moroccan athletics competitor","Khalid Boulami"
"121770","Martin Burkert","German politician","Martin Burkert"
"94234781","Meadow Walker","American model","Meadow Walker"
"49523589","Asaph Widmer-Cooper","chemist",""
"16197740","John Carpenter","Roman Catholic archbishop of Dublin","John Carpenter (archbishop of Dublin)"
"61749740","Khalid ibn Abdallah ibn Khalid ibn Asid","Late 7th/early 8th century Umayyad prince and statesman","Khalid ibn Abdallah ibn Khalid ibn Asid"
"97228388","Jin Warren Buffett","South Korean YouTuber",""
"52147363","Khalid Hamandi","researcher",""
"5273677","Dickie Arbiter","journalist","Dickie Arbiter"
"192912","Stephen Fry","British comedian, actor, writer, presenter, and activist","Stephen Fry"
"5387736","Eric White","American artist","Eric White (artist)"
"19666143","Paul Rogers","American writer","Paul Rogers (novelist)"
"62829","Kurt Sprengel","German botanist (1766–1833)","Kurt Polycarp Joachim Sprengel"
"58623467","Rizwan Ahmed","researcher ORCID ID = 0000-0002-8578-0602",""
"54046373","Juan Carlos Alonso","Spanish biologist and ecologist",""
"160772","Vicky Leandros","Greek singer","Vicky Leandros"
"47542017","John Oliver","(1720-1778)","John Oliver (Archdeacon of Ardagh)"
"160141","Chaïm Soutine","Belarusian-French painter (1893–1943)","Chaïm Soutine"
"2437895","Tobias Lindner","German biathlete",""
"478596","Grant Shapps","British politician","Grant Shapps"
"57320960","Jennifer A. Garner","American dietitian",""
"6778755","Mary Jacobi","mother of James (the Less) and Joseph","Mary, mother of James"
"346870","Filippo Bonanni","Jesuit priest and scientist 1638-1723","Filippo Bonanni"
"60056370","John Lee","researcher (ORCID 0000-0003-2269-6267)",""
"50326855","Raed al Saleh","founder and director of Syria Civil Defence",""
"5230858","David Arnold","English composer, conductor and record producer","David Arnold (conductor)"
"91435","Franz-Ulrich Hartl","German chemist","Franz-Ulrich Hartl"
"110602358","Mathilde","- 1269/1273",""
"20745164","Marc Pelosi","American soccer player","Marc Pelosi"
"87985660","Sasha Bernatsky","researcher",""
"79421176","Gayle H Doherty","researcher",""
"39924874","Anne Kavanagh","Australian epidemiologist and researcher",""
"1106981","Viktoria Brezhneva","First Lady of the Soviet Union (1907-1995)","Viktoria Brezhneva"
"97122","Karl Theodor Freiherr von und zu Guttenberg","German politician (CSU), Secretary of State in the Federal Chancellery (1921-1972)","Karl Theodor Freiherr von und zu Guttenberg"
"75248528","James Cameron","(born 1967)",""
"117453520","KoNtiNuE","American progamer",""
"439536","Gabriella Pescucci","Italian costume designer","Gabriella Pescucci"
"717618","Michael Kors","American fashion designer","Michael Kors"
"12861732","Andrew","",""
"344908","Peter Phillips","son of Anne, Princess Royal; nephew of Charles III (born 1977)","Peter Phillips"
"63003943","Sebastian Koch","Danish association football player",""
"55609000","Danny Ramirez","baseball coach","Danny Ramirez (baseball)"
"94524844","Anant Ambani","Indian director",""
"58380497","Rebecca Miller","Miller, Rebecca Alden, b. Mar. 20, 1974",""
"16186256","Keith Griffiths","architect","Keith Griffiths (architect)"
"89951324","Thomas N Helm","researcher",""
"76140647","David Laurence Pumphrey","(born 1989)",""
"72867499","Michael Müller","",""
"6266448","Johnny Carson","American football player (1930-2009)","Johnny Carson (American football)"
"90711633","Vanessa L Bryant","researcher (ORCID 0000-0002-4697-7410)",""
"18821962","Withman","English abbot of Ramsey",""
"33089270","Gayle Rankin","Scottish actress","Gayle Rankin"
"59532283","Reign Ashton Disick","child of Kourtney Kardashian Scott Disick",""
"7153302","Paul Rogers","English footballer (born 1965)","Paul Rogers (footballer)"
"60594384","Tom Beckhäuser","Czech athlete",""
"22681671","Kevin Smith","basketball player (1979-)",""
"114342321","Andreas Melchert","",""
"3308450","Michael Peters","American choreographer, dancer, director (1948-1994)","Michael Peters (choreographer)"
"63384633","Anna Maria Bello","researcher",""
"60632713","Nikolai","",""
"56002133","Mark F. Ethridge","American journalist",""
"100767786","John Carney","college basketball player (1979–1979) Texas",""
"102123354","Dieter Hermann Kemmerich","",""
"235575","Gabrielle Carteris","American actress","Gabrielle Carteris"
"2268637","Princess Christina, Mrs. Magnuson","Swedish princess; elder sister of King Carl XVI Gustaf of Sweden","Princess Christina, Mrs. Magnuson"
"466583","Chris Evans","Australian  politician","Chris Evans (Australian politician)"
"105754848","Dorothee Barth","German musical teacher",""
"41763445","Libby Connors","","Libby Connors"
"42224127","Ryan Hurd","American country singer","Ryan Hurd"
"116500256","Jason Moore","Rugby league footballer",""
"3571952","Yassine Bounou","Moroccan footballer","Yassine Bounou"
"235952","Gladys Knight","American singer and actress","Gladys Knight"
"314200","Mark Dacascos","American actor and martial artist","Mark Dacascos"
"101048248","Liam Payne","researcher",""
"1292790","Sasha","Jamaican musician","Sasha (Jamaican musician)"
"3840847","Lupita Nyong'o","Mexican-Kenyan actress and film director","Lupita Nyong'o"
"111623","Heinrich","German singer","Schäfer Heinrich"
"13407390","Mary Marquardt","American, former wife of Harrison Ford",""
"459925","B. J. Novak","American actor","B. J. Novak"
"9024781","Lucy Boynton","British actress","Lucy Boynton"
"237928","Coco Rocha","Canadian fashion model","Coco Rocha"
"21648349","Carl Weber","American painter",""
"102233235","Daniel Craig Biles","Ph.D. Vanderbilt University 1987",""
"66737787","","Swedish boxer",""
"109759213","Felipe","Person identified in the Museu da Pessoa collection (123245)",""
"1156782","Mike Kroeger","Canadian musician","Mike Kroeger"
"948705","Richard Hilton","American businessman and member of the family Hilton","Richard Hilton"
"5231985","David Byrne","English footballer and manager (born 1961)","David Byrne (footballer, born 1961)"
"1894539","Mareile Höppner","German television presenter and journalist","Mareile Höppner"
"108922254","Carl Philip Sack","",""
"5902039","Horace Panter","bassist of The Specials and professional artist","Horace Panter"
"2945547","Tory Burch","American fashion designer, businesswoman, and philanthropist","Tory Burch"
"16013968","David K. Stewart","Visual Effects Artist","David K. Stewart"
"56043532","Carter Reum","American entrepreneur","Carter Reum"
"76042493","Louise Amanda Harding","(born 1966)",""
"20816107","Kenji Yamada","American sportsperson","Kenji Yamada (judoka)"
"104221719","Paula Beer","holocaust victim, b. 1868-11-28",""
"97564598","Imran Khan","researcher ORCID 0000-0001-7293-4177",""
"97400155","Michelle Williams","English photographer",""
"27146422","Janni Hönscheid","surfer and model from Germany",""
"4083370","Tony Bellew","British boxer","Tony Bellew"
"30075250","Roger Moore","",""
"934766","David Edwards","association football player","David Edwards (footballer, born 1986)"
"106993443","Mark Strong","American politician","Mark Strong (politician)"
"381963","Kevin Smith","New Zealand actor (1963-2002)","Kevin Smith (New Zealand actor)"
"95732317","Luiz Guilherme Grossi Porto","researcher at the University of Brasilia",""
"79055374","Julia Fox","Italian-American actress","Julia Fox"
"63775114","Kate Benson","",""
"544856","Carlos Sainz Jr.","Spanish racing driver","Carlos Sainz Jr."
"6395763","Kevin Bacon","state Senator for the 3rd District of the Ohio Senate","Kevin Bacon (politician)"
"83515091","John S Choy","researcher",""
"75611327","Leslie Phillips Filder","Peerage person ID=243635",""
"235346","Michelle Phillips","American singer, songwriter, actress, and model","Michelle Phillips"
"233868","Elizabeth McGovern","American film, television, and theater actor, and musician","Elizabeth McGovern"
"89373779","Elif Peker","researcher (ORCID 0000-0003-3585-6848)",""
"21012756","Justin Hurwitz","American composer and screenwriter","Justin Hurwitz"
"104240","Karl Maybach","German engineer and entrepreneur (1879-1960)",""
"21502779","Axel Steiner","German entomologist",""
"5262585","Derik Murray","Canadian businessman",""
"92512662","Brandon Green","researcher (ORCID 0000-0001-7366-3241)",""
"56810153","Christopher McVey","Swedish footballer","Christopher McVey"
"1016343","Burkard Krug","German theologian",""
"106725550","Shaquille Allen","American football player",""
"2538","Joachim Gauck","German Protestant pastor and politician, Federal President 2012-2017","Joachim Gauck"
"19999938","Fernández","18th century luthier, possibly Catalan",""
"40337","Sandra Oh","Canadian-American actress","Sandra Oh"
"97681950","Johanna Michel","researcher",""
"69669","Uschi Glas","German actress","Uschi Glas"
"1404350","Johannes Vogel","German teacher",""
"66742","Eva Habermann","German actress","Eva Habermann"
"69263","Roland Kaiser","German singer","Roland Kaiser"
"95234938","Felix Kramer","",""
"3378750","Phil Collinson","TV Producer, actor","Phil Collinson"
"6399442","Khalid A. Al-Falih","Saudi businessman and manager","Khalid A. Al-Falih"
"15391841","Marie-Agnes Strack-Zimmermann","German politician","Marie-Agnes Strack-Zimmermann"
"95397098","Claudia Roth","1971-",""
"19571635","Tinashe Mhora","Zimbabwean cricketer","Tinashe Mhora"
"94687996","Mario López","",""
"48977217","Donald B. Dingwell","Canadian geologist","Donald B. Dingwell"
"205278","Dominic Purcell","actor","Dominic Purcell"
"59248252","Claudia Letizia","Italian actress, dancer, model, television and radio hostess and singer","Claudia Letizia"
"200534","Tilda Swinton","Scottish-British actress","Tilda Swinton"
"92475203","Alistair James Marsden","researcher (ORCID 0000-0003-1737-1169)",""
"108839194","Johannes Dyrkinus","",""
"111025","Jana Schölermann","German actress and voice actress",""
"50345544","Peter Gottfried Kremsner","Austrian physician","Peter Gottfried Kremsner"
"163286","Hugh Grant","British actor (born 1960)","Hugh Grant"
"1429928","Florian Teichtmeister","Austrian actor",""
"838508","Emilio Estefan","American musician","Emilio Estefan"
"3510850","Peter Obi","Nigerian politician","Peter Obi"
"97064659","M.T. Kervingant","",""
"1586858","Harry Thomas","Welsh footballer (born 1901)","Harry Thomas (footballer)"
"1740168","Kevin Hart","Australian theologian, philosopher and poet","Kevin Hart (poet)"
"116225244","Sienna Mozzi","daughter of Princess Beatrice and Edoardo Mapelli Mozzi","Sienna Mozzi"
"76186925","Constance Alexa Swinton","(born 1923)",""
"47059","Aishwarya Rai Bachchan","Indian actress","Aishwarya Rai Bachchan"
"6763879","Marina Núñez del Prado","Bolivian sculptor (1910-1995)","Marina Núñez del Prado"
"92062990","Matthew R LeBlanc","researcher (ORCID 0000-0002-1270-3825)",""
"1450141","Franziska Knuppe","model","Franziska Knuppe"
"6278041","Jorge García Montes","Cuban politician (1896-1982)","Jorge García Montes"
"30926105","Hiroshi Abe","Japanese rugby player",""
"89063171","Philippos C Patsalis","researcher",""
"37830547","Paola Guglielmelli","researcher",""
"573220","Anthony Edwards","Australian rower","Anthony Edwards (rower)"
"55428","Neil Jordan","Irish filmmaker and fiction writer","Neil Jordan"
"34169199","Hanson Milde-Meissner","German composer","Hanson Milde-Meissner"
"6685429","Antonio Vera Ramírez","Spanish writer","Antonio Vera Ramírez"
"76176484","Daniel Craig Stewart","(born 1978)",""
"106464554","Nicholas of Lesvos","Greek saint",""
"75755650","Stephen Langford","Peerage person ID=317787",""
"1077613","Chris Oliver","American basketball player",""
"5360193","Eli Cohen","Israeli footballer","Eli Cohen (footballer, born 1961)"
"20984479","William Johnston","American novelist (1924-2010)","William Johnston (novelist)"
"29617798","Thani bin Hamad bin Khalifa Al-Thani","Qatari royal","Thani bin Hamad bin Khalifa Al-Thani"
"272915","Ciara Bravo","American actress","Ciara Bravo"
"85793069","Phil Collins","American politician","Phil Collins (politician)"
"16091712","Hugh Aynesworth","American journalist","Hugh Aynesworth"
"108703114","Sienna Mapelli Mozzi","daughter of Princess Beatrice and Edoardo Mapelli Mozzi",""
"508467","Thomas Helmer","German footballer","Thomas Helmer"
"76162272","Oliver Christopher Anderson Scott","(1922-2016)","Oliver Scott"
"5231621","David Boyd","Australian cricketer","David Boyd (cricketer)"
"91274744","Taylor J Holland","researcher (ORCID 0000-0002-5864-8729)",""
"90791208","Kevin A McCarthy","researcher (ORCID 0000-0002-9148-8448)",""
"204450","Felipe Melo","Brazilian association football player","Felipe Melo"
"15836839","Nikeata Thompson","British actress",""
"93376931","Lars Harmsen","german typographer, graphic designer",""
"5230855","David Arnold","American football player","David Arnold (American football)"
"3124772","Karamani Mehmet Pasha","Ottoman Empire Grand Vizier","Karamani Mehmet Pasha"
"4202374","Joachim","",""
"15813144","Johann Saathoff","German politician","Johann Saathoff"
"13628723","Jared Kushner","American investor, real-estate developer, newspaper publisher, and senior advisor to President Donald Trump","Jared Kushner"
"104670","Christoph Maria Herbst","German comedian and actor","Christoph Maria Herbst"
"95933432","Brian May","researcher (ORCID 0000-0001-6045-0239)",""
"437402","Kathy Kreiner","Canadian alpine skier","Kathy Kreiner"
"110520599","Mathilde","",""
"97691490","Alica Schmidt","German association football player",""
"23766302","Brandon Maxwell","American ice hockey player","Brandon Maxwell (ice hockey)"
"67220286","Katharina Kreplin","particle physicist at Heidelberg University",""
"7803257","Tim Burton","American saxophonist","Tim Burton (musician)"
"8062373","Yvette Lee Bowser","American television producer and writer","Yvette Lee Bowser"
"1064954","Charles III de Créquy","French diplomat","Charles III de Créquy"
"5284","Bill Gates","American businessman and philanthropist (born 1955)","Bill Gates"
"336640","David Byrne","Scottish-American musician","David Byrne"
"28064602","Gabriel von Pfingsten","",""
"159099","Nina Hagen","German singer","Nina Hagen"
"333378","Henry Lowry-Corry","British politician (1803–1873)","Henry Lowry-Corry (1803–1873)"
"19325486","John Lee","Lee, Sir John (d. 1370), administrator",""
"19877926","Eric Finkelstein","American economist","Eric Finkelstein"
"100303475","Hugh E. Evans","member or fellow of the New York Academy of Medicine",""
"68108273","Christian Meyer","engineer from Germany",""
"115207608","Jazz Charton","British-American former model, wife to Kieran Culkin",""
"11222273","HARRY","",""
"237078","Magdalena Tul","Polish singer","Magdalena Tul"
"52476642","Maddy Horn","American speed skater (1911-1971)",""
"164060","Brandi Carlile","American alternative country and folk rock singer-songwriter","Brandi Carlile"
"57276","Michael D. Higgins","President of Ireland (2011–present)","Michael D. Higgins"
"60655201","Paul T Sharpe","researcher ORCID ID = 0000-0003-2116-9561",""
"60355277","James Murray","Maryland politician",""
"100937298","Chris Tucker","college basketball player (2004–2007) Virginia Tech",""
"10520","David Beckham","English association football player","David Beckham"
"6140175","James Murphy","Irish politician","James Murphy (Irish politician)"
"75598806","Leonardo Bello","Franciscan priest, Minister General of the Order of the Friars Minor (OFM)",""
"429554","Jaime Sabines","Mexican poet","Jaime Sabines"
"6782487","Masako Sen","Japanese former princess; younger daughter of Takahito, Prince Mikasa, and Yuriko, Princess Mikasa","Masako Sen"
"40673023","Adele Green","Australian epidemiologist","Adele Green"
"23621342","John Roberts","Australian rules footballer (1881-1956)","John Roberts (footballer, born 1881)"
"75827785","Daniel MacGeoffrey O'Connell","Peerage person ID=350569",""
"95650286","Barbara Becker","",""
"136687","Tommy Hilfiger","American fashion designer","Tommy Hilfiger"
"76235196","David Haworth","(born 1987)",""
"3287624","Marc-Angelo Soumah","",""
"78986","Günther Beck von Mannagetta und Lerchenau","Austrian botanist (1856-1931)","Günther Beck von Mannagetta und Lerchenau"
"99075453","Markus Becker","",""
"11774226","Daniel Machek","Czech swimmer","Daniel Machek"
"75726342","Robert Wood","(born 1630)",""
"2263148","Sebastian Steudtner","German surfer","Sebastian Steudtner"
"60607872","Neil Cross","Australian journalist and presenter",""
"2368906","Pattie Mallette","Mother of Justin Bieber","Pattie Mallette"
"4374992","Charles Michel Potier","",""
"61694567","Charles Binipom Bintin","Ghanaian politician","Charles Binipom Bintin"
"102238806","Michael Alan Jackson","Ph.D. Purdue University 2001",""
"110378021","Mathilde","",""
"85495758","Michael Douglass","researcher",""
"101510177","Mathilde","1080",""
"445429","Taylor Caldwell","novelist","Taylor Caldwell"
"75754295","David Cameron Williams","(1898-1931)",""
"2618153","Khaled  Al-Muwallid","Saudi Arabian footballer","Khaled Massad"
"56363458","Steven P Smith","researcher (ORCID 0000-0003-2710-4400)",""
"1386500","Terry Reintke","German politician","Terry Reintke"
"30322415","Sterling Brown","American basketball player","Sterling Brown (basketball)"
"23505","George H. W. Bush","President of the United States from 1989 to 1993","George H. W. Bush"
"5237273","David McAllister","Irish footballer","David McAllister (footballer)"
"47664","Catherine Zeta-Jones","Welsh actress","Catherine Zeta-Jones"
"231182","Kelly Osbourne","British singer","Kelly Osbourne"
"13129268","Iorwerth Drwyndwn","King of Gwynedd","Iorwerth Drwyndwn"
"1671928","Ioannis Kasoulidis","Cypriot politician","Ioannis Kasoulidis"
"61161605","Eric White","researcher ORCID ID = 0000-0003-4555-1503",""
"16085207","Milo Đukanović","Serbian film director (1927-1989)",""
"5180758","Craig Bowden","professional golfer","Craig Bowden"
"89731485","Natasha Wood","researcher",""
"75865282","Helene Fischer","Peerage person ID=365451",""
"75370887","Pedro Sanchez de Toca y Calvo, Marques de Toca","(1848-1937)",""
"5515769","Gabriel O'Kelly","Bishop of Elphin","Gabriel O'Kelly"
"170509","Henry James","American-born British writer and literary critic","Henry James"
"109355504","Riko Shibata","Japanese American actress",""
"17620655","Alex Rodriguez","Spanish association football player","Alex Rodríguez (Spanish footballer)"
"87897770","Eddie Tilley","Australian rules football player (1920-2006)","Eddie Tilley"
"19873281","Jordan Flores","English association football player","Jordan Flores"
"371007","Ciarán Cannon","Irish politician","Ciarán Cannon"
"56435647","Beatrix Ueberheide","researcher",""
"95815615","Karl May","",""
"438839","Aleksandr Dugin","Russian anti-Liberal political scientist","Aleksandr Dugin"
"20722948","Lordina Mahama","former Ghanaian first lady","Lordina Mahama"
"16800812","Thomas Bache","British judge","Thomas Bache (judge)"
"7366035","Ronnie del Carmen","Filipino animator","Ronnie del Carmen"
"30075253","Roger Moore","",""
"7153676","Paul Smith","British music manager","Paul Smith (music industry executive)"
"5729118","Henry Thomas","American sprinter","Henry Thomas (athlete)"
"58935289","Adele","countess of Vexin",""
"57582","Franziska van Almsick","German swimmer","Franziska van Almsick"
"30605776","Jim Parsons","American gasser drag racer","Jim Parsons (drag racer)"
"117318912","David Lawrence Levine","American computer scientist",""
"37830855","David J. Bradley","researcher",""
"28835658","Paul R. Rosenbaum","statistician","Paul R. Rosenbaum"
"488994","Dave Gahan","English singer","Dave Gahan"
"21288656","Charles","British urban planner",""
"58000242","Scott Cooper","member of the National Cartoonists Society",""
"20020731","Élisabeth Borne","Prime Minister of France since 2022","Élisabeth Borne"
"75945874","Marion Eugenia Knight","Peerage person ID=420867",""
"3260958","Stéphane Louis","French comics artist",""
"57647112","Elżbieta Ciara","Polish molecular geneticist",""
"33106528","Yohann Bénard","French official",""
"2575533","Mary of Waltham","English princess, Duchess of Britain","Mary of Waltham"
"100900715","Margaret","- 1350",""
"893625","Boris Becker","German artist",""
"109191884","Dennis Wolter","German YouTuber and Entertainer",""
"28078094","Thuso Mbedu","South African actress","Thuso Mbedu"
"123351","Michael Caine","British actor","Michael Caine"
"48700498","Rizwan Ahmed","Pakistani civil servant","Rizwan Ahmed (civil servant)"
"2404977","Jameela Jamil","British comedian, actress, presenter and activist","Jameela Jamil"
"48016876","Dream Kardashian","child of Rob Kardashian and Blac Chyna",""
"342370","Corey Haim","Canadian actor (1971–2010)","Corey Haim"
"75383800","Mary O'Sullivan","mother of Sophie, Countess of Wessex (1934-2005)",""
"41421","Michael Jordan","American basketball player and businessman (born 1963)","Michael Jordan"
"43882","Maximilian Arland","German television presenter and radio host","Maximilian Arland"
"50663891","David L Vaux","molecular biologist",""
"102834771","Sophie","",""
"4112619","Jeff Dwire","second stepfather of 42nd U.S. President Bill Clinton","Jeff Dwire"
"79140","Johannes Evangelist Haller","Austrian archbishop (1825-1900)","Johannes Evangelist Haller"
"91090976","Jen Slater","researcher (ORCID 0000-0001-6739-7784)",""
"12880754","Margaret","politician","Margaret, Lady of Lisarea"
"1135767","Cory Booker","United States Senator from New Jersey","Cory Booker"
"63187","Sebastian Koch","German actor, born 1962","Sebastian Koch"
"380828","Henri Debehogne","astronomer","Henri Debehogne"
"113781734","Ricarda Matheus","",""
"96749127","Shervin Alenabi","actor",""
"88845059","Jennifer Lopez","researcher",""
"45119005","Munroe Bergdorf","English model and activist","Munroe Bergdorf"
